condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k1_00,7,8.0,500,4.398599,4.013175,55.3222,0.0000,5.1048,0.4362,0.4362
k1_00,7,8.0,1000,4.280319,3.939516,51.3937,0.0000,5.4916,0.4362,0.4362
k1_00,7,8.0,1500,4.241483,3.883069,48.5731,0.0000,5.7664,0.4362,0.4362
k1_00,7,8.0,2000,4.198726,3.855268,47.2413,0.0000,5.9965,0.4362,0.4362
k1_00,7,8.0,2500,4.160504,3.832824,46.1928,0.0000,6.1957,0.4362,0.4362
k1_00,7,8.0,3000,4.128698,3.816309,45.4362,0.0000,6.3584,0.4362,0.4362
k1_00,7,8.0,3500,4.121669,3.802819,44.8274,0.0000,6.5211,0.4362,0.4362
k1_00,7,8.0,4000,4.101302,3.793094,44.3936,0.0000,6.6838,0.4362,0.4362
k1_00,7,8.0,4500,4.105513,3.787370,44.1402,0.0000,6.8161,0.4362,0.4362
k1_00,7,8.0,5000,4.094743,3.779828,43.8085,0.0000,6.9373,0.4362,0.4362
k1_00,7,8.0,5500,4.097168,3.776114,43.6461,0.0000,7.0585,0.4362,0.4362
k1_00,7,8.0,6000,4.075968,3.774348,43.5691,0.0000,7.1797,0.4362,0.4362
k1_00,7,8.0,6500,4.084362,3.772134,43.4727,0.0000,7.3009,0.4362,0.4362
k1_00,7,8.0,7000,4.086326,3.769714,43.3677,0.0000,7.4221,0.4362,0.4362
k1_00,7,8.0,7500,4.070279,3.764684,43.1501,0.0000,7.5282,0.4362,0.4362
k1_00,7,8.0,8000,4.069353,3.767281,43.2623,0.0000,7.6226,0.4362,0.4362
k1_00,7,8.0,8500,4.052982,3.767284,43.2624,0.0000,7.7169,0.4362,0.4362
k1_00,7,8.0,9000,4.049838,3.766829,43.2427,0.0000,7.8113,0.4362,0.4362
k1_00,7,8.0,9500,4.061271,3.760923,42.9881,0.0000,7.9056,0.4362,0.4362
k1_00,7,8.0,10000,4.059567,3.762674,43.0634,0.0000,8.0000,0.4362,0.4362
