condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k1_00,42,3.0,500,4.395058,4.043817,57.0437,0.0000,2.3745,0.5688,0.5688
k1_00,42,3.0,1000,4.296583,3.992385,54.1839,0.0000,2.4647,0.5688,0.5688
k1_00,42,3.0,1500,4.263357,3.912856,50.0417,0.0000,2.5279,0.5688,0.5688
k1_00,42,3.0,2000,4.223595,3.880754,48.4607,0.0000,2.5761,0.5688,0.5688
k1_00,42,3.0,2500,4.197848,3.858020,47.3715,0.0000,2.6215,0.5688,0.5688
k1_00,42,3.0,3000,4.173738,3.844015,46.7126,0.0000,2.6550,0.5688,0.5688
k1_00,42,3.0,3500,4.136805,3.827793,45.9610,0.0000,2.6885,0.5688,0.5688
k1_00,42,3.0,4000,4.139264,3.818681,45.5441,0.0000,2.7219,0.5688,0.5688
k1_00,42,3.0,4500,4.145078,3.808507,45.0831,0.0000,2.7526,0.5688,0.5688
k1_00,42,3.0,5000,4.134068,3.802443,44.8105,0.0000,2.7775,0.5688,0.5688
k1_00,42,3.0,5500,4.125468,3.798135,44.6179,0.0000,2.8023,0.5688,0.5688
k1_00,42,3.0,6000,4.116299,3.791926,44.3417,0.0000,2.8271,0.5688,0.5688
k1_00,42,3.0,6500,4.107311,3.793673,44.4193,0.0000,2.8520,0.5688,0.5688
k1_00,42,3.0,7000,4.104532,3.792293,44.3580,0.0000,2.8768,0.5688,0.5688
k1_00,42,3.0,7500,4.096270,3.789896,44.2518,0.0000,2.9017,0.5688,0.5688
k1_00,42,3.0,8000,4.107419,3.788480,44.1892,0.0000,2.9217,0.5688,0.5688
k1_00,42,3.0,8500,4.121238,3.790814,44.2924,0.0000,2.9413,0.5688,0.5688
k1_00,42,3.0,9000,4.110264,3.792140,44.3512,0.0000,2.9608,0.5688,0.5688
k1_00,42,3.0,9500,4.114832,3.791051,44.3029,0.0000,2.9804,0.5688,0.5688
k1_00,42,3.0,10000,4.104408,3.793584,44.4153,0.0000,3.0000,0.5688,0.5688
