condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_50,42,8.0,500,4.423367,4.080910,59.1993,0.0000,5.3442,0.8401,0.4200
k0_50,42,8.0,1000,4.332121,4.043935,57.0504,0.0000,5.7167,0.8401,0.4200
k0_50,42,8.0,1500,4.307014,3.966572,52.8032,0.0000,5.9883,0.8401,0.4200
k0_50,42,8.0,2000,4.270150,3.927564,50.7831,0.0000,6.1903,0.8401,0.4200
k0_50,42,8.0,2500,4.244511,3.905251,49.6625,0.0000,6.3923,0.8401,0.4200
k0_50,42,8.0,3000,4.221672,3.893355,49.0753,0.0000,6.5399,0.8401,0.4200
k0_50,42,8.0,3500,4.187287,3.877776,48.3166,0.0000,6.6756,0.8401,0.4200
k0_50,42,8.0,4000,4.192132,3.869863,47.9358,0.0000,6.8114,0.8401,0.4200
k0_50,42,8.0,4500,4.200733,3.859869,47.4591,0.0000,6.9471,0.8401,0.4200
k0_50,42,8.0,5000,4.191368,3.853666,47.1656,0.0000,7.0791,0.8401,0.4200
k0_50,42,8.0,5500,4.182775,3.849158,46.9535,0.0000,7.1757,0.8401,0.4200
k0_50,42,8.0,6000,4.174633,3.843452,46.6864,0.0000,7.2723,0.8401,0.4200
k0_50,42,8.0,6500,4.166925,3.844946,46.7562,0.0000,7.3689,0.8401,0.4200
k0_50,42,8.0,7000,4.165206,3.844170,46.7199,0.0000,7.4656,0.8401,0.4200
k0_50,42,8.0,7500,4.158432,3.842111,46.6238,0.0000,7.5622,0.8401,0.4200
k0_50,42,8.0,8000,4.169784,3.841313,46.5866,0.0000,7.6588,0.8401,0.4200
k0_50,42,8.0,8500,4.184944,3.842716,46.6520,0.0000,7.7554,0.8401,0.4200
k0_50,42,8.0,9000,4.173398,3.844277,46.7249,0.0000,7.8520,0.8401,0.4200
k0_50,42,8.0,9500,4.179941,3.843057,46.6679,0.0000,7.9277,0.8401,0.4200
k0_50,42,8.0,10000,4.169425,3.846460,46.8270,0.0000,8.0000,0.8401,0.4200
