condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_50,123,8.0,500,4.442365,4.075720,58.8929,0.0000,5.3442,0.8401,0.4200
k0_50,123,8.0,1000,4.325541,4.032766,56.4168,0.0000,5.7167,0.8401,0.4200
k0_50,123,8.0,1500,4.295757,3.966288,52.7882,0.0000,5.9883,0.8401,0.4200
k0_50,123,8.0,2000,4.254591,3.928902,50.8511,0.0000,6.1903,0.8401,0.4200
k0_50,123,8.0,2500,4.252914,3.907179,49.7584,0.0000,6.3923,0.8401,0.4200
k0_50,123,8.0,3000,4.226853,3.888941,48.8591,0.0000,6.5399,0.8401,0.4200
k0_50,123,8.0,3500,4.206869,3.876000,48.2309,0.0000,6.6756,0.8401,0.4200
k0_50,123,8.0,4000,4.191794,3.869733,47.9296,0.0000,6.8114,0.8401,0.4200
k0_50,123,8.0,4500,4.188219,3.865047,47.7055,0.0000,6.9471,0.8401,0.4200
k0_50,123,8.0,5000,4.185691,3.859786,47.4552,0.0000,7.0791,0.8401,0.4200
k0_50,123,8.0,5500,4.176444,3.855983,47.2750,0.0000,7.1757,0.8401,0.4200
k0_50,123,8.0,6000,4.171262,3.856687,47.3083,0.0000,7.2723,0.8401,0.4200
k0_50,123,8.0,6500,4.172298,3.855898,47.2711,0.0000,7.3689,0.8401,0.4200
k0_50,123,8.0,7000,4.160312,3.858290,47.3843,0.0000,7.4656,0.8401,0.4200
k0_50,123,8.0,7500,4.171830,3.854329,47.1969,0.0000,7.5622,0.8401,0.4200
k0_50,123,8.0,8000,4.164015,3.852415,47.1067,0.0000,7.6588,0.8401,0.4200
k0_50,123,8.0,8500,4.171711,3.852569,47.1140,0.0000,7.7554,0.8401,0.4200
k0_50,123,8.0,9000,4.171314,3.853653,47.1651,0.0000,7.8520,0.8401,0.4200
k0_50,123,8.0,9500,4.173440,3.857404,47.3423,0.0000,7.9277,0.8401,0.4200
k0_50,123,8.0,10000,4.169857,3.857918,47.3666,0.0000,8.0000,0.8401,0.4200
