condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_50,42,3.0,500,4.443322,4.106295,60.7213,0.0000,2.4513,1.1109,0.5554
k0_50,42,3.0,1000,4.354520,4.067872,58.4325,0.0000,2.5378,1.1109,0.5554
k0_50,42,3.0,1500,4.348327,4.032426,56.3976,0.0000,2.5946,1.1109,0.5554
k0_50,42,3.0,2000,4.310944,3.969372,52.9513,0.0000,2.6414,1.1109,0.5554
k0_50,42,3.0,2500,4.287546,3.944069,51.6283,0.0000,2.6802,1.1109,0.5554
k0_50,42,3.0,3000,4.267280,3.933907,51.1063,0.0000,2.7104,1.1109,0.5554
k0_50,42,3.0,3500,4.233594,3.919997,50.4003,0.0000,2.7407,1.1109,0.5554
k0_50,42,3.0,4000,4.236149,3.912725,50.0351,0.0000,2.7709,1.1109,0.5554
k0_50,42,3.0,4500,4.245010,3.902093,49.5060,0.0000,2.7962,1.1109,0.5554
k0_50,42,3.0,5000,4.236518,3.895313,49.1714,0.0000,2.8170,1.1109,0.5554
k0_50,42,3.0,5500,4.227953,3.890515,48.9361,0.0000,2.8379,1.1109,0.5554
k0_50,42,3.0,6000,4.220790,3.885073,48.6705,0.0000,2.8588,1.1109,0.5554
k0_50,42,3.0,6500,4.214442,3.886607,48.7452,0.0000,2.8796,1.1109,0.5554
k0_50,42,3.0,7000,4.213521,3.886024,48.7168,0.0000,2.9005,1.1109,0.5554
k0_50,42,3.0,7500,4.208184,3.884569,48.6460,0.0000,2.9214,1.1109,0.5554
k0_50,42,3.0,8000,4.219756,3.884686,48.6517,0.0000,2.9385,1.1109,0.5554
k0_50,42,3.0,8500,4.235968,3.885270,48.6801,0.0000,2.9539,1.1109,0.5554
k0_50,42,3.0,9000,4.224212,3.887231,48.7756,0.0000,2.9693,1.1109,0.5554
k0_50,42,3.0,9500,4.232168,3.886359,48.7331,0.0000,2.9846,1.1109,0.5554
k0_50,42,3.0,10000,4.221926,3.890352,48.9281,0.0000,3.0000,1.1109,0.5554
