condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_25,7,8.0,500,4.493327,4.140887,62.8586,0.0000,5.3482,1.6797,0.4199
k0_25,7,8.0,1000,4.397456,4.095281,60.0562,0.0000,5.7206,1.6797,0.4199
k0_25,7,8.0,1500,4.385571,4.085902,59.4956,0.0000,5.9911,1.6797,0.4199
k0_25,7,8.0,2000,4.373591,4.055066,57.6890,0.0000,6.1940,1.6797,0.4199
k0_25,7,8.0,2500,4.346245,4.012322,55.2751,0.0000,6.3970,1.6797,0.4199
k0_25,7,8.0,3000,4.319394,3.996176,54.3898,0.0000,6.5424,1.6797,0.4199
k0_25,7,8.0,3500,4.313464,3.986496,53.8658,0.0000,6.6786,1.6797,0.4199
k0_25,7,8.0,4000,4.295626,3.980349,53.5357,0.0000,6.8148,1.6797,0.4199
k0_25,7,8.0,4500,4.304552,3.975087,53.2547,0.0000,6.9509,1.6797,0.4199
k0_25,7,8.0,5000,4.294351,3.965744,52.7595,0.0000,7.0806,1.6797,0.4199
k0_25,7,8.0,5500,4.300964,3.965110,52.7261,0.0000,7.1774,1.6797,0.4199
k0_25,7,8.0,6000,4.284104,3.961560,52.5392,0.0000,7.2741,1.6797,0.4199
k0_25,7,8.0,6500,4.298668,3.963824,52.6583,0.0000,7.3709,1.6797,0.4199
k0_25,7,8.0,7000,4.305854,3.962451,52.5861,0.0000,7.4677,1.6797,0.4199
k0_25,7,8.0,7500,4.291715,3.960705,52.4943,0.0000,7.5645,1.6797,0.4199
k0_25,7,8.0,8000,4.295851,3.964646,52.7016,0.0000,7.6612,1.6797,0.4199
k0_25,7,8.0,8500,4.282244,3.964986,52.7196,0.0000,7.7580,1.6797,0.4199
k0_25,7,8.0,9000,4.282913,3.964731,52.7061,0.0000,7.8548,1.6797,0.4199
k0_25,7,8.0,9500,4.298013,3.960078,52.4614,0.0000,7.9277,1.6797,0.4199
k0_25,7,8.0,10000,4.296093,3.961076,52.5138,0.0000,8.0000,1.6797,0.4199
