condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k1_00,7,3.0,500,4.419054,4.041438,56.9081,0.0000,2.3745,0.5688,0.5688
k1_00,7,3.0,1000,4.312600,3.994642,54.3064,0.0000,2.4647,0.5688,0.5688
k1_00,7,3.0,1500,4.277229,3.920233,50.4122,0.0000,2.5279,0.5688,0.5688
k1_00,7,3.0,2000,4.239905,3.892911,49.0535,0.0000,2.5761,0.5688,0.5688
k1_00,7,3.0,2500,4.204938,3.871161,47.9981,0.0000,2.6215,0.5688,0.5688
k1_00,7,3.0,3000,4.173780,3.855249,47.2404,0.0000,2.6550,0.5688,0.5688
k1_00,7,3.0,3500,4.164603,3.840624,46.5545,0.0000,2.6885,0.5688,0.5688
k1_00,7,3.0,4000,4.142596,3.829559,46.0422,0.0000,2.7219,0.5688,0.5688
k1_00,7,3.0,4500,4.146940,3.821842,45.6883,0.0000,2.7526,0.5688,0.5688
k1_00,7,3.0,5000,4.135595,3.813484,45.3080,0.0000,2.7775,0.5688,0.5688
k1_00,7,3.0,5500,4.138533,3.809863,45.1442,0.0000,2.8023,0.5688,0.5688
k1_00,7,3.0,6000,4.117994,3.807730,45.0481,0.0000,2.8271,0.5688,0.5688
k1_00,7,3.0,6500,4.127536,3.806525,44.9938,0.0000,2.8520,0.5688,0.5688
k1_00,7,3.0,7000,4.129869,3.803912,44.8764,0.0000,2.8768,0.5688,0.5688
k1_00,7,3.0,7500,4.114470,3.799478,44.6778,0.0000,2.9017,0.5688,0.5688
k1_00,7,3.0,8000,4.114101,3.802381,44.8077,0.0000,2.9217,0.5688,0.5688
k1_00,7,3.0,8500,4.098168,3.802753,44.8244,0.0000,2.9413,0.5688,0.5688
k1_00,7,3.0,9000,4.095568,3.802394,44.8083,0.0000,2.9608,0.5688,0.5688
k1_00,7,3.0,9500,4.107671,3.797063,44.5701,0.0000,2.9804,0.5688,0.5688
k1_00,7,3.0,10000,4.106259,3.798803,44.6477,0.0000,3.0000,0.5688,0.5688
