condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_50,7,3.0,500,4.465336,4.103902,60.5762,0.0000,2.4513,1.1109,0.5554
k0_50,7,3.0,1000,4.366836,4.068153,58.4489,0.0000,2.5378,1.1109,0.5554
k0_50,7,3.0,1500,4.360090,4.036655,56.6366,0.0000,2.5946,1.1109,0.5554
k0_50,7,3.0,2000,4.325502,3.983849,53.7234,0.0000,2.6414,1.1109,0.5554
k0_50,7,3.0,2500,4.300127,3.959362,52.4238,0.0000,2.6802,1.1109,0.5554
k0_50,7,3.0,3000,4.271236,3.946216,51.7392,0.0000,2.7104,1.1109,0.5554
k0_50,7,3.0,3500,4.263124,3.934685,51.1460,0.0000,2.7407,1.1109,0.5554
k0_50,7,3.0,4000,4.242170,3.925759,50.6915,0.0000,2.7709,1.1109,0.5554
k0_50,7,3.0,4500,4.248323,3.916897,50.2443,0.0000,2.7962,1.1109,0.5554
k0_50,7,3.0,5000,4.236433,3.906640,49.7316,0.0000,2.8170,1.1109,0.5554
k0_50,7,3.0,5500,4.241445,3.903686,49.5849,0.0000,2.8379,1.1109,0.5554
k0_50,7,3.0,6000,4.222898,3.899930,49.3990,0.0000,2.8588,1.1109,0.5554
k0_50,7,3.0,6500,4.235307,3.900834,49.4437,0.0000,2.8796,1.1109,0.5554
k0_50,7,3.0,7000,4.240186,3.898574,49.3320,0.0000,2.9005,1.1109,0.5554
k0_50,7,3.0,7500,4.225576,3.895556,49.1834,0.0000,2.9214,1.1109,0.5554
k0_50,7,3.0,8000,4.227308,3.898676,49.3371,0.0000,2.9385,1.1109,0.5554
k0_50,7,3.0,8500,4.212634,3.899002,49.3532,0.0000,2.9539,1.1109,0.5554
k0_50,7,3.0,9000,4.211782,3.898620,49.3343,0.0000,2.9693,1.1109,0.5554
k0_50,7,3.0,9500,4.225567,3.894296,49.1214,0.0000,2.9846,1.1109,0.5554
k0_50,7,3.0,10000,4.223937,3.895876,49.1991,0.0000,3.0000,1.1109,0.5554
