condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_25,42,8.0,500,4.472742,4.142664,62.9704,0.0000,5.3482,1.6797,0.4199
k0_25,42,8.0,1000,4.385176,4.091418,59.8247,0.0000,5.7206,1.6797,0.4199
k0_25,42,8.0,1500,4.376928,4.088198,59.6323,0.0000,5.9911,1.6797,0.4199
k0_25,42,8.0,2000,4.360639,4.038220,56.7253,0.0000,6.1940,1.6797,0.4199
k0_25,42,8.0,2500,4.331343,3.995947,54.3773,0.0000,6.3970,1.6797,0.4199
k0_25,42,8.0,3000,4.313925,3.984128,53.7384,0.0000,6.5424,1.6797,0.4199
k0_25,42,8.0,3500,4.283894,3.972056,53.0936,0.0000,6.6786,1.6797,0.4199
k0_25,42,8.0,4000,4.288360,3.967865,52.8715,0.0000,6.8148,1.6797,0.4199
k0_25,42,8.0,4500,4.300667,3.959700,52.4416,0.0000,6.9509,1.6797,0.4199
k0_25,42,8.0,5000,4.294049,3.953949,52.1409,0.0000,7.0806,1.6797,0.4199
k0_25,42,8.0,5500,4.286768,3.950154,51.9434,0.0000,7.1774,1.6797,0.4199
k0_25,42,8.0,6000,4.281113,3.945856,51.7206,0.0000,7.2741,1.6797,0.4199
k0_25,42,8.0,6500,4.277081,3.948672,51.8664,0.0000,7.3709,1.6797,0.4199
k0_25,42,8.0,7000,4.277938,3.949205,51.8941,0.0000,7.4677,1.6797,0.4199
k0_25,42,8.0,7500,4.275310,3.948721,51.8690,0.0000,7.5645,1.6797,0.4199
k0_25,42,8.0,8000,4.288251,3.950760,51.9749,0.0000,7.6612,1.6797,0.4199
k0_25,42,8.0,8500,4.306049,3.950309,51.9514,0.0000,7.7580,1.6797,0.4199
k0_25,42,8.0,9000,4.294315,3.952476,52.0641,0.0000,7.8548,1.6797,0.4199
k0_25,42,8.0,9500,4.304440,3.952232,52.0514,0.0000,7.9277,1.6797,0.4199
k0_25,42,8.0,10000,4.294864,3.956690,52.2840,0.0000,8.0000,1.6797,0.4199
