condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_25,42,3.0,500,4.493842,4.170624,64.7558,0.0000,2.4546,2.2208,0.5552
k0_25,42,3.0,1000,4.407451,4.118009,61.4368,0.0000,2.5411,2.2208,0.5552
k0_25,42,3.0,1500,4.394088,4.107664,60.8045,0.0000,2.5970,2.2208,0.5552
k0_25,42,3.0,2000,4.398515,4.097833,60.2096,0.0000,2.6446,2.2208,0.5552
k0_25,42,3.0,2500,4.375433,4.058083,57.8633,0.0000,2.6820,2.2208,0.5552
k0_25,42,3.0,3000,4.359436,4.029999,56.2608,0.0000,2.7126,2.2208,0.5552
k0_25,42,3.0,3500,4.331499,4.014089,55.3728,0.0000,2.7432,2.2208,0.5552
k0_25,42,3.0,4000,4.332705,4.009712,55.1310,0.0000,2.7738,2.2208,0.5552
k0_25,42,3.0,4500,4.343688,4.001442,54.6769,0.0000,2.7973,2.2208,0.5552
k0_25,42,3.0,5000,4.336829,3.995099,54.3312,0.0000,2.8183,2.2208,0.5552
k0_25,42,3.0,5500,4.329159,3.991517,54.1369,0.0000,2.8393,2.2208,0.5552
k0_25,42,3.0,6000,4.324242,3.987719,53.9318,0.0000,2.8603,2.2208,0.5552
k0_25,42,3.0,6500,4.321777,3.992049,54.1658,0.0000,2.8813,2.2208,0.5552
k0_25,42,3.0,7000,4.323880,3.993492,54.2440,0.0000,2.9023,2.2208,0.5552
k0_25,42,3.0,7500,4.323117,3.994487,54.2980,0.0000,2.9231,2.2208,0.5552
k0_25,42,3.0,8000,4.337676,3.998075,54.4931,0.0000,2.9385,2.2208,0.5552
k0_25,42,3.0,8500,4.356777,3.997586,54.4665,0.0000,2.9539,2.2208,0.5552
k0_25,42,3.0,9000,4.345243,4.000223,54.6103,0.0000,2.9693,2.2208,0.5552
k0_25,42,3.0,9500,4.357230,4.000673,54.6349,0.0000,2.9846,2.2208,0.5552
k0_25,42,3.0,10000,4.348791,4.005400,54.8938,0.0000,3.0000,2.2208,0.5552
