condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_25,7,3.0,500,4.513345,4.169001,64.6509,0.0000,2.4546,2.2208,0.5552
k0_25,7,3.0,1000,4.419502,4.122182,61.6937,0.0000,2.5411,2.2208,0.5552
k0_25,7,3.0,1500,4.402884,4.103710,60.5646,0.0000,2.5970,2.2208,0.5552
k0_25,7,3.0,2000,4.406214,4.107585,60.7997,0.0000,2.6446,2.2208,0.5552
k0_25,7,3.0,2500,4.397927,4.079837,59.1358,0.0000,2.6820,2.2208,0.5552
k0_25,7,3.0,3000,4.363125,4.042398,56.9628,0.0000,2.7126,2.2208,0.5552
k0_25,7,3.0,3500,4.360219,4.027804,56.1375,0.0000,2.7432,2.2208,0.5552
k0_25,7,3.0,4000,4.342119,4.021211,55.7686,0.0000,2.7738,2.2208,0.5552
k0_25,7,3.0,4500,4.348975,4.016925,55.5301,0.0000,2.7973,2.2208,0.5552
k0_25,7,3.0,5000,4.339167,4.007817,55.0266,0.0000,2.8183,2.2208,0.5552
k0_25,7,3.0,5500,4.345570,4.008481,55.0632,0.0000,2.8393,2.2208,0.5552
k0_25,7,3.0,6000,4.328948,4.005678,54.9091,0.0000,2.8603,2.2208,0.5552
k0_25,7,3.0,6500,4.344577,4.008740,55.0775,0.0000,2.8813,2.2208,0.5552
k0_25,7,3.0,7000,4.353045,4.008013,55.0374,0.0000,2.9023,2.2208,0.5552
k0_25,7,3.0,7500,4.339383,4.006930,54.9778,0.0000,2.9231,2.2208,0.5552
k0_25,7,3.0,8000,4.345566,4.011756,55.2438,0.0000,2.9385,2.2208,0.5552
k0_25,7,3.0,8500,4.333508,4.012931,55.3088,0.0000,2.9539,2.2208,0.5552
k0_25,7,3.0,9000,4.335235,4.013106,55.3184,0.0000,2.9693,2.2208,0.5552
k0_25,7,3.0,9500,4.351875,4.008366,55.0569,0.0000,2.9846,2.2208,0.5552
k0_25,7,3.0,10000,4.350333,4.009296,55.1081,0.0000,3.0000,2.2208,0.5552
