condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k1_00,42,8.0,500,4.374188,4.015615,55.4574,0.0000,5.1048,0.4362,0.4362
k1_00,42,8.0,1000,4.263469,3.933382,51.0794,0.0000,5.4916,0.4362,0.4362
k1_00,42,8.0,1500,4.226719,3.875559,48.2096,0.0000,5.7664,0.4362,0.4362
k1_00,42,8.0,2000,4.182648,3.843766,46.7010,0.0000,5.9965,0.4362,0.4362
k1_00,42,8.0,2500,4.154996,3.820544,45.6290,0.0000,6.1957,0.4362,0.4362
k1_00,42,8.0,3000,4.130088,3.805523,44.9487,0.0000,6.3584,0.4362,0.4362
k1_00,42,8.0,3500,4.094331,3.790683,44.2866,0.0000,6.5211,0.4362,0.4362
k1_00,42,8.0,4000,4.098316,3.783474,43.9685,0.0000,6.6838,0.4362,0.4362
k1_00,42,8.0,4500,4.103992,3.774560,43.5783,0.0000,6.8161,0.4362,0.4362
k1_00,42,8.0,5000,4.092556,3.769093,43.3407,0.0000,6.9373,0.4362,0.4362
k1_00,42,8.0,5500,4.084650,3.764887,43.1588,0.0000,7.0585,0.4362,0.4362
k1_00,42,8.0,6000,4.074754,3.757830,42.8553,0.0000,7.1797,0.4362,0.4362
k1_00,42,8.0,6500,4.064991,3.760076,42.9517,0.0000,7.3009,0.4362,0.4362
k1_00,42,8.0,7000,4.061444,3.758290,42.8750,0.0000,7.4221,0.4362,0.4362
k1_00,42,8.0,7500,4.052322,3.755660,42.7624,0.0000,7.5282,0.4362,0.4362
k1_00,42,8.0,8000,4.063177,3.753815,42.6836,0.0000,7.6226,0.4362,0.4362
k1_00,42,8.0,8500,4.075959,3.756733,42.8083,0.0000,7.7169,0.4362,0.4362
k1_00,42,8.0,9000,4.065573,3.757832,42.8554,0.0000,7.8113,0.4362,0.4362
k1_00,42,8.0,9500,4.068767,3.756922,42.8164,0.0000,7.9056,0.4362,0.4362
k1_00,42,8.0,10000,4.058331,3.758441,42.8815,0.0000,8.0000,0.4362,0.4362
