k,eps_target,n_seeds,sigma_b,sigma_g,ppl_mean,ppl_std,sparsity_mean,sparsity_std
0.25,3.0,3,2.2207924328932673,0.5551981082233168,55.09636666666667,0.19696228911477776,0.0,0.0
0.25,8.0,3,1.6797290441169932,0.4199322610292483,52.49796666666667,0.2065057464898589,0.0,0.0
0.5,3.0,3,1.1108956452184426,0.5554478226092213,49.1883,0.25497160626234394,0.0,0.0
0.5,8.0,3,0.8400716410831592,0.4200358205415796,47.10766666666667,0.27045571418133013,0.0,0.0
1.0,3.0,3,0.5687644823674416,0.5687644823674416,44.6761,0.27609766388001045,0.0,0.0
1.0,8.0,3,0.4362198738651385,0.4362198738651385,43.11076666666667,0.25625456743896785,0.0,0.0
