condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate
k0_50,123,3.0,500,4.462068,4.100736,60.3847,0.0000,2.4513,1.1109,0.5554
k0_50,123,3.0,1000,4.346954,4.057764,57.8448,0.0000,2.5378,1.1109,0.5554
k0_50,123,3.0,1500,4.338703,4.031001,56.3173,0.0000,2.5946,1.1109,0.5554
k0_50,123,3.0,2000,4.294063,3.969864,52.9773,0.0000,2.6414,1.1109,0.5554
k0_50,123,3.0,2500,4.298045,3.946926,51.7760,0.0000,2.6802,1.1109,0.5554
k0_50,123,3.0,3000,4.274545,3.930310,50.9228,0.0000,2.7104,1.1109,0.5554
k0_50,123,3.0,3500,4.253572,3.918747,50.3373,0.0000,2.7407,1.1109,0.5554
k0_50,123,3.0,4000,4.237044,3.912973,50.0475,0.0000,2.7709,1.1109,0.5554
k0_50,123,3.0,4500,4.233574,3.907588,49.7787,0.0000,2.7962,1.1109,0.5554
k0_50,123,3.0,5000,4.231001,3.901995,49.5011,0.0000,2.8170,1.1109,0.5554
k0_50,123,3.0,5500,4.221967,3.896857,49.2474,0.0000,2.8379,1.1109,0.5554
k0_50,123,3.0,6000,4.217678,3.898122,49.3097,0.0000,2.8588,1.1109,0.5554
k0_50,123,3.0,6500,4.219286,3.896844,49.2468,0.0000,2.8796,1.1109,0.5554
k0_50,123,3.0,7000,4.208083,3.898704,49.3385,0.0000,2.9005,1.1109,0.5554
k0_50,123,3.0,7500,4.220700,3.895336,49.1726,0.0000,2.9214,1.1109,0.5554
k0_50,123,3.0,8000,4.212789,3.893503,49.0825,0.0000,2.9385,1.1109,0.5554
k0_50,123,3.0,8500,4.221427,3.894871,49.1497,0.0000,2.9539,1.1109,0.5554
k0_50,123,3.0,9000,4.222156,3.896149,49.2126,0.0000,2.9693,1.1109,0.5554
k0_50,123,3.0,9500,4.224702,3.900268,49.4157,0.0000,2.9846,1.1109,0.5554
k0_50,123,3.0,10000,4.221146,3.900713,49.4377,0.0000,3.0000,1.1109,0.5554
