condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
extreme_r0.1_k0.5,7,3.0,500,4.454021,4.086681,59.5420,0.0000,2.4513,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,1000,4.337323,4.036060,56.6029,0.0000,2.5378,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,1500,4.304778,3.975962,53.3014,0.0000,2.5946,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,2000,4.270230,3.948057,51.8346,0.0000,2.6414,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,2500,4.243011,3.929681,50.8907,0.0000,2.6802,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,3000,4.217280,3.916981,50.2485,0.0000,2.7104,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,3500,4.214004,3.905752,49.6874,0.0000,2.7407,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,4000,4.195351,3.896241,49.2171,0.0000,2.7709,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,4500,4.203022,3.886162,48.7235,0.0000,2.7962,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,5000,4.189835,3.875867,48.2245,0.0000,2.8170,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,5500,4.193326,3.869433,47.9152,0.0000,2.8379,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,6000,4.172333,3.864554,47.6820,0.0000,2.8588,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,6500,4.181242,3.865792,47.7411,0.0000,2.8796,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,7000,4.183622,3.861667,47.5445,0.0000,2.9005,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,7500,4.168969,3.857362,47.3403,0.0000,2.9214,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,8000,4.168796,3.858834,47.4100,0.0000,2.9385,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,8500,4.152411,3.856882,47.3176,0.0000,2.9539,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,9000,4.150146,3.856273,47.2888,0.0000,2.9693,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,9500,4.161212,3.851706,47.0733,0.0000,2.9846,1.1109,0.5554,1.0000,0.1000
extreme_r0.1_k0.5,7,3.0,10000,4.158983,3.851446,47.0611,0.0000,3.0000,1.1109,0.5554,1.0000,0.1000
