condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
clip_r0.25_k1.0,7,3.0,500,4.409036,4.026221,56.0487,0.0000,2.3745,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,1000,4.283812,3.955401,52.2166,0.0000,2.4647,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,1500,4.244898,3.905137,49.6569,0.0000,2.5279,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,2000,4.209557,3.884740,48.6543,0.0000,2.5761,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,2500,4.182637,3.870090,47.9467,0.0000,2.6215,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,3000,4.161470,3.861855,47.5535,0.0000,2.6550,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,3500,4.163686,3.858226,47.3812,0.0000,2.6885,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,4000,4.149386,3.851757,47.0757,0.0000,2.7219,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,4500,4.158091,3.855185,47.2373,0.0000,2.7526,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,5000,4.153359,3.854270,47.1942,0.0000,2.7775,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,5500,4.161434,3.857450,47.3445,0.0000,2.8023,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,6000,4.142679,3.863587,47.6359,0.0000,2.8271,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,6500,4.154702,3.866504,47.7751,0.0000,2.8520,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,7000,4.159085,3.867793,47.8367,0.0000,2.8768,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,7500,4.145828,3.867041,47.8008,0.0000,2.9017,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,8000,4.146658,3.871599,48.0191,0.0000,2.9217,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,8500,4.133311,3.880255,48.4365,0.0000,2.9413,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,9000,4.130713,3.883993,48.6180,0.0000,2.9608,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,9500,4.142822,3.875104,48.1877,0.0000,2.9804,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,7,3.0,10000,4.137202,3.875236,48.1941,0.0000,3.0000,0.5688,0.5688,1.0000,0.2500
