condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
extreme_r0.1_k0.5,123,8.0,500,4.428737,4.055071,57.6893,0.0000,5.3442,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,1000,4.288597,3.988999,54.0008,0.0000,5.7167,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,1500,4.247158,3.930769,50.9461,0.0000,5.9883,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,2000,4.204681,3.903792,49.5902,0.0000,6.1903,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,2500,4.208193,3.884937,48.6639,0.0000,6.3923,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,3000,4.188272,3.869369,47.9121,0.0000,6.5399,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,3500,4.171084,3.859321,47.4332,0.0000,6.6756,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,4000,4.157386,3.851458,47.0616,0.0000,6.8114,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,4500,4.150665,3.845915,46.8015,0.0000,6.9471,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,5000,4.147742,3.838360,46.4492,0.0000,7.0791,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,5500,4.137646,3.834801,46.2842,0.0000,7.1757,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,6000,4.130793,3.832541,46.1797,0.0000,7.2723,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,6500,4.129914,3.830973,46.1074,0.0000,7.3689,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,7000,4.117424,3.830779,46.0985,0.0000,7.4656,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,7500,4.125959,3.825276,45.8454,0.0000,7.5622,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,8000,4.117624,3.822292,45.7089,0.0000,7.6588,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,8500,4.124037,3.822955,45.7392,0.0000,7.7554,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,9000,4.124197,3.822553,45.7208,0.0000,7.8520,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,9500,4.124242,3.824188,45.7956,0.0000,7.9277,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,123,8.0,10000,4.119799,3.821638,45.6790,0.0000,8.0000,0.8401,0.4200,1.0000,0.1000
