condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
baseline_r1.0_k1.0,42,3.0,500,4.386364,4.032082,56.3782,0.0000,2.3745,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,1000,4.274278,3.962946,52.6121,0.0000,2.4647,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,1500,4.237907,3.911070,49.9524,0.0000,2.5279,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,2000,4.206509,3.890121,48.9168,0.0000,2.5761,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,2500,4.192544,3.879162,48.3836,0.0000,2.6215,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,3000,4.182589,3.879785,48.4138,0.0000,2.6550,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,3500,4.163176,3.877255,48.2915,0.0000,2.6885,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,4000,4.173874,3.883232,48.5810,0.0000,2.7219,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,4500,4.185450,3.886546,48.7423,0.0000,2.7526,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,5000,4.183772,3.896865,49.2478,0.0000,2.7775,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,5500,4.181187,3.895879,49.1993,0.0000,2.8023,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,6000,4.174218,3.888778,48.8512,0.0000,2.8271,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,6500,4.162055,3.900981,49.4509,0.0000,2.8520,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,7000,4.162850,3.906184,49.7089,0.0000,2.8768,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,7500,4.154780,3.905974,49.6985,0.0000,2.9017,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,8000,4.159161,3.897654,49.2867,0.0000,2.9217,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,8500,4.166424,3.896306,49.2203,0.0000,2.9413,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,9000,4.150916,3.891815,48.9997,0.0000,2.9608,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,9500,4.150077,3.885730,48.7025,0.0000,2.9804,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,42,3.0,10000,4.137075,3.877004,48.2793,0.0000,3.0000,0.5688,0.5688,1.0000,1.0000
