condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
clip_r0.25_k1.0,42,8.0,500,4.362215,3.997702,54.4728,0.0000,5.1048,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,1000,4.235578,3.907484,49.7735,0.0000,5.4916,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,1500,4.195269,3.865869,47.7447,0.0000,5.7664,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,2000,4.159392,3.839994,46.5252,0.0000,5.9965,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,2500,4.140189,3.825263,45.8448,0.0000,6.1957,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,3000,4.125397,3.820047,45.6064,0.0000,6.3584,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,3500,4.099940,3.813169,45.2938,0.0000,6.5211,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,4000,4.108488,3.815893,45.4173,0.0000,6.6838,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,4500,4.117775,3.815150,45.3836,0.0000,6.8161,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,5000,4.112992,3.821359,45.6662,0.0000,6.9373,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,5500,4.109754,3.819604,45.5862,0.0000,7.0585,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,6000,4.101181,3.813124,45.2917,0.0000,7.1797,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,6500,4.091467,3.825503,45.8559,0.0000,7.3009,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,7000,4.090971,3.830722,46.0958,0.0000,7.4221,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,7500,4.083957,3.833926,46.2437,0.0000,7.5282,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,8000,4.091132,3.831693,46.1406,0.0000,7.6226,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,8500,4.101281,3.835358,46.3100,0.0000,7.7169,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,9000,4.089485,3.835687,46.3253,0.0000,7.8113,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,9500,4.089320,3.832333,46.1701,0.0000,7.9056,0.4362,0.4362,1.0000,0.2500
clip_r0.25_k1.0,42,8.0,10000,4.077040,3.823666,45.7717,0.0000,8.0000,0.4362,0.4362,1.0000,0.2500
