condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
both_r0.25_k0.25,7,8.0,500,4.479187,4.119600,61.5346,0.0000,5.3482,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,1000,4.363543,4.059679,57.9557,0.0000,5.7206,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,1500,4.325667,4.024925,55.9761,0.0000,5.9911,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,2000,4.293830,3.983856,53.7238,0.0000,6.1940,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,2500,4.269273,3.963668,52.6501,0.0000,6.3970,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,3000,4.244803,3.951928,52.0356,0.0000,6.5424,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,3500,4.243815,3.944283,51.6393,0.0000,6.6786,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,4000,4.227888,3.938305,51.3315,0.0000,6.8148,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,4500,4.239088,3.933141,51.0671,0.0000,6.9509,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,5000,4.228291,3.924596,50.6326,0.0000,7.0806,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,5500,4.233741,3.920187,50.4099,0.0000,7.1774,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,6000,4.214273,3.915229,50.1606,0.0000,7.2741,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,6500,4.224011,3.918341,50.3169,0.0000,7.3709,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,7000,4.228124,3.913833,50.0906,0.0000,7.4677,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,7500,4.213948,3.910259,49.9119,0.0000,7.5645,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,8000,4.215639,3.912370,50.0173,0.0000,7.6612,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,8500,4.200511,3.910839,49.9408,0.0000,7.7580,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,9000,4.198910,3.909674,49.8827,0.0000,7.8548,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,9500,4.210900,3.905933,49.6964,0.0000,7.9277,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,7,8.0,10000,4.208986,3.905527,49.6763,0.0000,8.0000,1.6797,0.4199,1.0000,0.2500
