condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
baseline_r1.0_k1.0,7,8.0,500,4.388563,4.000269,54.6129,0.0000,5.1048,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,1000,4.258453,3.923910,50.5979,0.0000,5.4916,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,1500,4.217128,3.884473,48.6413,0.0000,5.7664,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,2000,4.184884,3.869794,47.9325,0.0000,5.9965,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,2500,4.161623,3.862363,47.5776,0.0000,6.1957,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,3000,4.146797,3.864354,47.6725,0.0000,6.3584,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,3500,4.154296,3.872307,48.0531,0.0000,6.5211,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,4000,4.140618,3.864925,47.6997,0.0000,6.6838,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,4500,4.149652,3.875853,48.2238,0.0000,6.8161,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,5000,4.144654,3.877048,48.2815,0.0000,6.9373,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,5500,4.148627,3.876747,48.2669,0.0000,7.0585,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,6000,4.126198,3.880851,48.4655,0.0000,7.1797,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,6500,4.133001,3.873722,48.1212,0.0000,7.3009,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,7000,4.129873,3.865329,47.7190,0.0000,7.4221,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,7500,4.107872,3.853908,47.1771,0.0000,7.5282,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,8000,4.100922,3.844503,46.7355,0.0000,7.6226,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,8500,4.078786,3.838165,46.4402,0.0000,7.7169,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,9000,4.068862,3.831067,46.1117,0.0000,7.8113,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,9500,4.074915,3.816169,45.4298,0.0000,7.9056,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,7,8.0,10000,4.066496,3.808433,45.0797,0.0000,8.0000,0.4362,0.4362,1.0000,1.0000
