condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
baseline_r1.0_k1.0,7,3.0,500,4.410557,4.030201,56.2722,0.0000,2.3745,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,1000,4.291816,3.967676,52.8616,0.0000,2.4647,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,1500,4.251895,3.916237,50.2111,0.0000,2.5279,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,2000,4.220000,3.901432,49.4732,0.0000,2.5761,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,2500,4.197985,3.892087,49.0131,0.0000,2.6215,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,3000,4.182127,3.889977,48.9098,0.0000,2.6550,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,3500,4.189385,3.895761,49.1935,0.0000,2.6885,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,4000,4.177949,3.890399,48.9304,0.0000,2.7219,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,4500,4.188737,3.900534,49.4288,0.0000,2.7526,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,5000,4.186180,3.903057,49.5537,0.0000,2.7775,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,5500,4.193624,3.908276,49.8130,0.0000,2.8023,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,6000,4.175280,3.916770,50.2379,0.0000,2.8271,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,6500,4.186034,3.915753,50.1868,0.0000,2.8520,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,7000,4.186780,3.914029,50.1004,0.0000,2.8768,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,7500,4.169053,3.908259,49.8122,0.0000,2.9017,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,8000,4.166096,3.907061,49.7525,0.0000,2.9217,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,8500,4.148465,3.907069,49.7529,0.0000,2.9413,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,9000,4.139614,3.899607,49.3830,0.0000,2.9608,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,9500,4.145906,3.881744,48.5088,0.0000,2.9804,0.5688,0.5688,1.0000,1.0000
baseline_r1.0_k1.0,7,3.0,10000,4.135106,3.872533,48.0640,0.0000,3.0000,0.5688,0.5688,1.0000,1.0000
