condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
baseline_r1.0_k1.0,42,8.0,500,4.364020,4.002292,54.7234,0.0000,5.1048,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,1000,4.241470,3.917782,50.2888,0.0000,5.4916,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,1500,4.202336,3.879470,48.3985,0.0000,5.7664,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,2000,4.171933,3.858681,47.4028,0.0000,5.9965,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,2500,4.157571,3.850234,47.0041,0.0000,6.1957,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,3000,4.147656,3.854079,47.1851,0.0000,6.3584,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,3500,4.127395,3.852606,47.1157,0.0000,6.5211,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,4000,4.137314,3.859009,47.4183,0.0000,6.6838,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,4500,4.146395,3.861940,47.5575,0.0000,6.8161,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,5000,4.142077,3.868640,47.8772,0.0000,6.9373,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,5500,4.136808,3.865183,47.7120,0.0000,7.0585,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,6000,4.126380,3.853033,47.1358,0.0000,7.1797,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,6500,4.110500,3.861186,47.5217,0.0000,7.3009,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,7000,4.106703,3.857993,47.3702,0.0000,7.4221,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,7500,4.093463,3.851830,47.0791,0.0000,7.5282,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,8000,4.095958,3.837977,46.4315,0.0000,7.6226,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,8500,4.099649,3.831444,46.1291,0.0000,7.7169,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,9000,4.083839,3.825722,45.8659,0.0000,7.8113,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,9500,4.080372,3.818798,45.5494,0.0000,7.9056,0.4362,0.4362,1.0000,1.0000
baseline_r1.0_k1.0,42,8.0,10000,4.068000,3.812736,45.2741,0.0000,8.0000,0.4362,0.4362,1.0000,1.0000
