condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
both_r0.25_k0.25,42,8.0,500,4.458203,4.120591,61.5956,0.0000,5.3482,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,1000,4.349469,4.054323,57.6461,0.0000,5.7206,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,1500,4.312718,4.021693,55.7955,0.0000,5.9911,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,2000,4.279820,3.971946,53.0877,0.0000,6.1940,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,2500,4.257165,3.949247,51.8963,0.0000,6.3970,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,3000,4.241295,3.940791,51.4593,0.0000,6.5424,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,3500,4.215779,3.929922,50.9030,0.0000,6.6786,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,4000,4.222124,3.924917,50.6489,0.0000,6.8148,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,4500,4.233430,3.916351,50.2169,0.0000,6.9509,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,5000,4.225324,3.910377,49.9177,0.0000,7.0806,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,5500,4.217219,3.906646,49.7319,0.0000,7.1774,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,6000,4.210305,3.899218,49.3638,0.0000,7.2741,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,6500,4.203372,3.900389,49.4217,0.0000,7.3709,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,7000,4.202014,3.898954,49.3508,0.0000,7.4677,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,7500,4.197868,3.897461,49.2772,0.0000,7.5645,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,8000,4.210358,3.899362,49.3709,0.0000,7.6612,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,8500,4.225559,3.898215,49.3144,0.0000,7.7580,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,9000,4.214364,3.899188,49.3624,0.0000,7.8548,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,9500,4.223343,3.898704,49.3385,0.0000,7.9277,1.6797,0.4199,1.0000,0.2500
both_r0.25_k0.25,42,8.0,10000,4.213581,3.901923,49.4976,0.0000,8.0000,1.6797,0.4199,1.0000,0.2500
