condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
clip_r0.25_k1.0,123,3.0,500,4.404334,4.023512,55.8971,0.0000,2.3745,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,1000,4.264261,3.944237,51.6369,0.0000,2.4647,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,1500,4.220643,3.900923,49.4481,0.0000,2.5279,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,2000,4.178796,3.875867,48.2245,0.0000,2.5761,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,2500,4.185291,3.861892,47.5552,0.0000,2.6215,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,3000,4.168319,3.852361,47.1042,0.0000,2.6550,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,3500,4.156040,3.849938,46.9902,0.0000,2.6885,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,4000,4.147318,3.850369,47.0104,0.0000,2.7219,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,4500,4.146717,3.853631,47.1640,0.0000,2.7526,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,5000,4.150750,3.859650,47.4487,0.0000,2.7775,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,5500,4.146508,3.861379,47.5309,0.0000,2.8023,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,6000,4.145454,3.867866,47.8402,0.0000,2.8271,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,6500,4.144649,3.879984,48.4235,0.0000,2.8520,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,7000,4.137570,3.888963,48.8602,0.0000,2.8768,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,7500,4.145450,3.880430,48.4450,0.0000,2.9017,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,8000,4.138154,3.884032,48.6199,0.0000,2.9217,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,8500,4.146645,3.884228,48.6294,0.0000,2.9413,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,9000,4.145468,3.893659,49.0902,0.0000,2.9608,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,9500,4.144137,3.894672,49.1399,0.0000,2.9804,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,123,3.0,10000,4.138619,3.893253,49.0703,0.0000,3.0000,0.5688,0.5688,1.0000,0.2500
