condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
extreme_r0.1_k0.5,42,8.0,500,4.409684,4.060301,57.9917,0.0000,5.3442,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,1000,4.293251,3.998869,54.5364,0.0000,5.7167,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,1500,4.257738,3.930722,50.9437,0.0000,5.9883,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,2000,4.219087,3.900036,49.4042,0.0000,6.1903,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,2500,4.196823,3.880010,48.4247,0.0000,6.3923,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,3000,4.178609,3.868411,47.8663,0.0000,6.5399,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,3500,4.147813,3.852768,47.1233,0.0000,6.6756,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,4000,4.151112,3.842398,46.6372,0.0000,6.8114,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,4500,4.156569,3.829698,46.0486,0.0000,6.9471,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,5000,4.144790,3.822302,45.7093,0.0000,7.0791,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,5500,4.134764,3.816967,45.4661,0.0000,7.1757,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,6000,4.125342,3.808712,45.0923,0.0000,7.2723,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,6500,4.115030,3.809784,45.1407,0.0000,7.3689,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,7000,4.112003,3.806940,45.0125,0.0000,7.4656,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,7500,4.103832,3.803311,44.8495,0.0000,7.5622,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,8000,4.114106,3.802236,44.8013,0.0000,7.6588,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,8500,4.127042,3.802712,44.8226,0.0000,7.7554,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,9000,4.115641,3.803655,44.8648,0.0000,7.8520,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,9500,4.121054,3.802095,44.7949,0.0000,7.9277,0.8401,0.4200,1.0000,0.1000
extreme_r0.1_k0.5,42,8.0,10000,4.110439,3.804110,44.8853,0.0000,8.0000,0.8401,0.4200,1.0000,0.1000
