condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed_total,sigma_body,sigma_gate,clip_body,clip_gate
clip_r0.25_k1.0,42,3.0,500,4.384814,4.028034,56.1504,0.0000,2.3745,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,1000,4.266040,3.949289,51.8985,0.0000,2.4647,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,1500,4.230198,3.898241,49.3156,0.0000,2.5279,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,2000,4.194032,3.872281,48.0519,0.0000,2.5761,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,2500,4.175623,3.856641,47.3062,0.0000,2.6215,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,3000,4.161185,3.850208,47.0028,0.0000,2.6550,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,3500,4.135652,3.841260,46.5841,0.0000,2.6885,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,4000,4.143828,3.840672,46.5568,0.0000,2.7219,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,4500,4.153245,3.838435,46.4527,0.0000,2.7526,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,5000,4.149062,3.844620,46.7409,0.0000,2.7775,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,5500,4.145961,3.842239,46.6298,0.0000,2.8023,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,6000,4.139815,3.837813,46.4238,0.0000,2.8271,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,6500,4.132371,3.848616,46.9281,0.0000,2.8520,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,7000,4.133573,3.855856,47.2691,0.0000,2.8768,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,7500,4.129598,3.860618,47.4947,0.0000,2.9017,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,8000,4.137776,3.862333,47.5762,0.0000,2.9217,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,8500,4.151405,3.868180,47.8552,0.0000,2.9413,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,9000,4.140832,3.873894,48.1294,0.0000,2.9608,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,9500,4.146228,3.877845,48.3200,0.0000,2.9804,0.5688,0.5688,1.0000,0.2500
clip_r0.25_k1.0,42,3.0,10000,4.137724,3.877872,48.3213,0.0000,3.0000,0.5688,0.5688,1.0000,0.2500
