condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
bias+0.5,7,8.0,500,4.382808,3.997938,54.4857,0.0000,5.3487,0.000000
bias+0.5,7,8.0,1000,4.256919,3.917421,50.2706,0.0000,5.7210,0.000000
bias+0.5,7,8.0,1500,4.222301,3.864793,47.6934,0.0000,5.9914,0.000000
bias+0.5,7,8.0,2000,4.172804,3.832490,46.1774,0.0000,6.1945,0.000000
bias+0.5,7,8.0,2500,4.131595,3.809784,45.1407,0.0000,6.3975,0.000000
bias+0.5,7,8.0,3000,4.106093,3.791041,44.3025,0.0000,6.5427,0.000000
bias+0.5,7,8.0,3500,4.097968,3.776599,43.6673,0.0000,6.6789,0.000000
bias+0.5,7,8.0,4000,4.079242,3.771193,43.4319,0.0000,6.8151,0.000000
bias+0.5,7,8.0,4500,4.077189,3.760505,42.9701,0.0000,6.9513,0.000000
bias+0.5,7,8.0,5000,4.063871,3.754989,42.7337,0.0000,7.0807,0.000000
bias+0.5,7,8.0,5500,4.070249,3.757041,42.8215,0.0000,7.1775,0.000000
bias+0.5,7,8.0,6000,4.048644,3.756529,42.7996,0.0000,7.2743,0.000000
bias+0.5,7,8.0,6500,4.053962,3.754471,42.7116,0.0000,7.3710,0.000000
bias+0.5,7,8.0,7000,4.056599,3.753779,42.6821,0.0000,7.4678,0.000000
bias+0.5,7,8.0,7500,4.040534,3.748927,42.4755,0.0000,7.5646,0.000000
bias+0.5,7,8.0,8000,4.037586,3.746571,42.3755,0.0000,7.6614,0.000000
bias+0.5,7,8.0,8500,4.022989,3.745081,42.3125,0.0000,7.7582,0.000000
bias+0.5,7,8.0,9000,4.014448,3.743930,42.2638,0.0000,7.8549,0.000000
bias+0.5,7,8.0,9500,4.028657,3.738954,42.0540,0.0000,7.9275,0.000000
bias+0.5,7,8.0,10000,4.031322,3.739110,42.0605,0.0000,7.9998,0.000000
