condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
bias-2.2,7,3.0,500,6.533006,6.088578,440.7940,0.4212,2.4553,0.000000
bias-2.2,7,3.0,1000,6.294063,5.984139,397.0806,0.3700,2.5418,0.000000
bias-2.2,7,3.0,1500,6.234063,5.915754,370.8336,0.3880,2.5975,0.000000
bias-2.2,7,3.0,2000,6.158218,5.859274,350.4694,0.3799,2.6453,0.000000
bias-2.2,7,3.0,2500,6.115071,5.804925,331.9302,0.3766,2.6824,0.000000
bias-2.2,7,3.0,3000,6.078390,5.759089,317.0594,0.3709,2.7130,0.000000
bias-2.2,7,3.0,3500,6.052740,5.718960,304.5879,0.3675,2.7437,0.000000
bias-2.2,7,3.0,4000,6.025457,5.664541,288.4556,0.3799,2.7744,0.000000
bias-2.2,7,3.0,4500,5.973658,5.606143,272.0929,0.3706,2.7975,0.000000
bias-2.2,7,3.0,5000,5.937449,5.559556,259.7074,0.3544,2.8185,0.000000
bias-2.2,7,3.0,5500,5.893172,5.528167,251.6820,0.3672,2.8395,0.000000
bias-2.2,7,3.0,6000,5.851073,5.502392,245.2779,0.3587,2.8606,0.000000
bias-2.2,7,3.0,6500,5.820073,5.469941,237.4463,0.3500,2.8816,0.000000
bias-2.2,7,3.0,7000,5.800842,5.445954,231.8183,0.3529,2.9026,0.000000
bias-2.2,7,3.0,7500,5.763689,5.417306,225.2715,0.3456,2.9231,0.000000
bias-2.2,7,3.0,8000,5.762749,5.392239,219.6948,0.3100,2.9385,0.000000
bias-2.2,7,3.0,8500,5.712057,5.374574,215.8478,0.3351,2.9538,0.000000
bias-2.2,7,3.0,9000,5.706092,5.351537,210.9323,0.3076,2.9692,0.000000
bias-2.2,7,3.0,9500,5.694923,5.328814,206.1933,0.2956,2.9846,0.000000
bias-2.2,7,3.0,10000,5.683354,5.310532,202.4580,0.2836,2.9999,0.000000
