condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
bias-0.5,7,3.0,500,4.959741,4.418181,82.9452,0.0000,2.4553,0.000000
bias-0.5,7,3.0,1000,4.791123,4.356242,77.9636,0.0000,2.5418,0.000000
bias-0.5,7,3.0,1500,4.763544,4.305194,74.0836,0.0000,2.5975,0.000000
bias-0.5,7,3.0,2000,4.692887,4.234080,68.9981,0.0000,2.6453,0.000000
bias-0.5,7,3.0,2500,4.616705,4.157799,63.9307,0.0000,2.6824,0.000000
bias-0.5,7,3.0,3000,4.562843,4.114187,61.2025,0.0000,2.7130,0.000000
bias-0.5,7,3.0,3500,4.530600,4.088748,59.6652,0.0000,2.7437,0.000000
bias-0.5,7,3.0,4000,4.497548,4.065553,58.2972,0.0000,2.7744,0.000000
bias-0.5,7,3.0,4500,4.472152,4.042734,56.9819,0.0000,2.7975,0.000000
bias-0.5,7,3.0,5000,4.447920,4.030529,56.2907,0.0000,2.8185,0.000000
bias-0.5,7,3.0,5500,4.441581,4.024176,55.9342,0.0000,2.8395,0.000000
bias-0.5,7,3.0,6000,4.406991,4.021681,55.7948,0.0000,2.8606,0.000000
bias-0.5,7,3.0,6500,4.403096,4.011981,55.2562,0.0000,2.8816,0.000000
bias-0.5,7,3.0,7000,4.394373,4.010134,55.1543,0.0000,2.9026,0.000000
bias-0.5,7,3.0,7500,4.375616,4.002544,54.7372,0.0000,2.9231,0.000000
bias-0.5,7,3.0,8000,4.371693,3.998451,54.5136,0.0000,2.9385,0.000000
bias-0.5,7,3.0,8500,4.345781,4.000731,54.6381,0.0000,2.9538,0.000000
bias-0.5,7,3.0,9000,4.336423,3.996486,54.4066,0.0000,2.9692,0.000000
bias-0.5,7,3.0,9500,4.343255,3.986760,53.8800,0.0000,2.9846,0.000000
bias-0.5,7,3.0,10000,4.342396,3.986027,53.8406,0.0000,2.9999,0.000000
