condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
bias+0.5,7,3.0,500,4.405017,4.028863,56.1970,0.0000,2.4553,0.000000
bias+0.5,7,3.0,1000,4.291048,3.973103,53.1492,0.0000,2.5418,0.000000
bias+0.5,7,3.0,1500,4.262192,3.902985,49.5501,0.0000,2.5975,0.000000
bias+0.5,7,3.0,2000,4.216512,3.871579,48.0181,0.0000,2.6453,0.000000
bias+0.5,7,3.0,2500,4.176763,3.849162,46.9537,0.0000,2.6824,0.000000
bias+0.5,7,3.0,3000,4.151297,3.829583,46.0433,0.0000,2.7130,0.000000
bias+0.5,7,3.0,3500,4.140772,3.813420,45.3051,0.0000,2.7437,0.000000
bias+0.5,7,3.0,4000,4.121982,3.806744,45.0037,0.0000,2.7744,0.000000
bias+0.5,7,3.0,4500,4.119423,3.794475,44.4549,0.0000,2.7975,0.000000
bias+0.5,7,3.0,5000,4.105415,3.788479,44.1891,0.0000,2.8185,0.000000
bias+0.5,7,3.0,5500,4.112449,3.790361,44.2724,0.0000,2.8395,0.000000
bias+0.5,7,3.0,6000,4.091403,3.789353,44.2278,0.0000,2.8606,0.000000
bias+0.5,7,3.0,6500,4.097407,3.788547,44.1922,0.0000,2.8816,0.000000
bias+0.5,7,3.0,7000,4.100134,3.787549,44.1480,0.0000,2.9026,0.000000
bias+0.5,7,3.0,7500,4.084574,3.783123,43.9531,0.0000,2.9231,0.000000
bias+0.5,7,3.0,8000,4.082488,3.781418,43.8782,0.0000,2.9385,0.000000
bias+0.5,7,3.0,8500,4.068931,3.779357,43.7879,0.0000,2.9538,0.000000
bias+0.5,7,3.0,9000,4.060360,3.778132,43.7343,0.0000,2.9692,0.000000
bias+0.5,7,3.0,9500,4.075471,3.774182,43.5619,0.0000,2.9846,0.000000
bias+0.5,7,3.0,10000,4.078695,3.774508,43.5761,0.0000,2.9999,0.000000
