condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
B_gate_naive,123,3.0,500,4.597020,4.168017,64.5872,0.0000,2.4553,0.000000
B_gate_naive,123,3.0,1000,4.465222,4.131871,62.2944,0.0000,2.5418,0.000000
B_gate_naive,123,3.0,1500,4.427100,4.046594,57.2023,0.0000,2.5975,0.000000
B_gate_naive,123,3.0,2000,4.358726,3.981350,53.5893,0.0000,2.6453,0.000000
B_gate_naive,123,3.0,2500,4.332819,3.955523,52.2230,0.0000,2.6824,0.000000
B_gate_naive,123,3.0,3000,4.303574,3.930809,50.9482,0.0000,2.7130,0.000000
B_gate_naive,123,3.0,3500,4.275148,3.909201,49.8591,0.0000,2.7437,0.000000
B_gate_naive,123,3.0,4000,4.253206,3.893060,49.0608,0.0000,2.7744,0.000000
B_gate_naive,123,3.0,4500,4.243923,3.886198,48.7253,0.0000,2.7975,0.000000
B_gate_naive,123,3.0,5000,4.233369,3.878619,48.3574,0.0000,2.8185,0.000000
B_gate_naive,123,3.0,5500,4.216745,3.876571,48.2585,0.0000,2.8395,0.000000
B_gate_naive,123,3.0,6000,4.212153,3.871599,48.0191,0.0000,2.8606,0.000000
B_gate_naive,123,3.0,6500,4.205956,3.867654,47.8301,0.0000,2.8816,0.000000
B_gate_naive,123,3.0,7000,4.183057,3.866188,47.7600,0.0000,2.9026,0.000000
B_gate_naive,123,3.0,7500,4.193513,3.859732,47.4526,0.0000,2.9231,0.000000
B_gate_naive,123,3.0,8000,4.188642,3.860510,47.4896,0.0000,2.9385,0.000000
B_gate_naive,123,3.0,8500,4.183101,3.853267,47.1468,0.0000,2.9538,0.000000
B_gate_naive,123,3.0,9000,4.177904,3.850729,47.0273,0.0000,2.9692,0.000000
B_gate_naive,123,3.0,9500,4.177917,3.855099,47.2333,0.0000,2.9846,0.000000
B_gate_naive,123,3.0,10000,4.180566,3.850928,47.0367,0.0000,2.9999,0.000000
