Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 7661.21it/s]
/home/wlwuser/anaconda3/lib/python3.12/site-packages/opacus/privacy_engine.py:96: UserWarning: Secure RNG turned off. This is perfectly fine for experimentation as it allows for much faster training performance, but remember to turn it on and retrain one last time before production with ``secure_mode`` turned on.
  warnings.warn(
`loss_type=None` was set in the config but it is unrecognized. Using the default loss: `ForCausalLMLoss`.
step=000100  loss=7.0014  ε=4.714  λ=0.00990
step=000200  loss=6.8194  ε=4.951  λ=0.00980
step=000300  loss=6.7098  ε=5.130  λ=0.00970
step=000400  loss=6.6345  ε=5.239  λ=0.00960
step=000500  loss=6.5540  ε=5.349  λ=0.00950
  [eval] step=000500  eval_ppl=420.891  gate_sparsity=0.471  ε_consumed=5.349
step=000600  loss=6.5391  ε=5.458  λ=0.00940
step=000700  loss=6.5253  ε=5.528  λ=0.00930
step=000800  loss=6.4708  ε=5.592  λ=0.00920
step=000900  loss=6.4288  ε=5.657  λ=0.00910
step=001000  loss=6.4506  ε=5.721  λ=0.00900
  [eval] step=001000  eval_ppl=378.580  gate_sparsity=0.416  ε_consumed=5.721
step=001100  loss=6.4036  ε=5.786  λ=0.00890
step=001200  loss=6.4028  ε=5.850  λ=0.00880
step=001300  loss=6.3949  ε=5.910  λ=0.00870
step=001400  loss=6.3909  ε=5.951  λ=0.00860
step=001500  loss=6.3466  ε=5.991  λ=0.00850
  [eval] step=001500  eval_ppl=347.526  gate_sparsity=0.414  ε_consumed=5.991
step=001600  loss=6.3517  ε=6.032  λ=0.00840
step=001700  loss=6.3096  ε=6.073  λ=0.00830
step=001800  loss=6.3534  ε=6.113  λ=0.00820
step=001900  loss=6.2876  ε=6.154  λ=0.00810
step=002000  loss=6.2907  ε=6.194  λ=0.00800
  [eval] step=002000  eval_ppl=320.822  gate_sparsity=0.408  ε_consumed=6.194
step=002100  loss=6.2599  ε=6.235  λ=0.00790
step=002200  loss=6.2369  ε=6.276  λ=0.00780
step=002300  loss=6.2487  ε=6.316  λ=0.00770
step=002400  loss=6.2326  ε=6.357  λ=0.00760
step=002500  loss=6.2468  ε=6.398  λ=0.00750
  [eval] step=002500  eval_ppl=300.798  gate_sparsity=0.351  ε_consumed=6.398
step=002600  loss=6.2031  ε=6.434  λ=0.00740
step=002700  loss=6.2062  ε=6.461  λ=0.00730
step=002800  loss=6.1856  ε=6.488  λ=0.00720
step=002900  loss=6.2013  ε=6.515  λ=0.00710
step=003000  loss=6.1798  ε=6.543  λ=0.00700
  [eval] step=003000  eval_ppl=285.500  gate_sparsity=0.361  ε_consumed=6.543
step=003100  loss=6.1984  ε=6.570  λ=0.00690
step=003200  loss=6.1582  ε=6.597  λ=0.00680
step=003300  loss=6.0857  ε=6.624  λ=0.00670
step=003400  loss=6.1316  ε=6.652  λ=0.00660
step=003500  loss=6.0813  ε=6.679  λ=0.00650
  [eval] step=003500  eval_ppl=269.232  gate_sparsity=0.363  ε_consumed=6.679
step=003600  loss=6.0957  ε=6.706  λ=0.00640
step=003700  loss=6.0812  ε=6.733  λ=0.00630
step=003800  loss=6.0718  ε=6.761  λ=0.00620
step=003900  loss=6.0410  ε=6.788  λ=0.00610
step=004000  loss=6.0324  ε=6.815  λ=0.00600
  [eval] step=004000  eval_ppl=253.275  gate_sparsity=0.371  ε_consumed=6.815
step=004100  loss=5.9973  ε=6.842  λ=0.00590
step=004200  loss=6.0160  ε=6.870  λ=0.00580
step=004300  loss=6.0273  ε=6.897  λ=0.00570
step=004400  loss=6.0065  ε=6.924  λ=0.00560
step=004500  loss=5.9949  ε=6.951  λ=0.00550
  [eval] step=004500  eval_ppl=242.609  gate_sparsity=0.349  ε_consumed=6.951
step=004600  loss=5.9728  ε=6.979  λ=0.00540
step=004700  loss=5.9759  ε=7.006  λ=0.00530
step=004800  loss=5.9453  ε=7.033  λ=0.00520
step=004900  loss=5.9570  ε=7.060  λ=0.00510
step=005000  loss=5.9296  ε=7.081  λ=0.00500
  [eval] step=005000  eval_ppl=232.358  gate_sparsity=0.340  ε_consumed=7.081
step=005100  loss=5.8883  ε=7.100  λ=0.00490
step=005200  loss=5.8796  ε=7.119  λ=0.00480
step=005300  loss=5.8957  ε=7.139  λ=0.00470
step=005400  loss=5.8882  ε=7.158  λ=0.00460
step=005500  loss=5.9037  ε=7.177  λ=0.00450
  [eval] step=005500  eval_ppl=223.245  gate_sparsity=0.322  ε_consumed=7.177
step=005600  loss=5.8669  ε=7.197  λ=0.00440
step=005700  loss=5.8558  ε=7.216  λ=0.00430
step=005800  loss=5.8377  ε=7.236  λ=0.00420
step=005900  loss=5.8369  ε=7.255  λ=0.00410
step=006000  loss=5.8505  ε=7.274  λ=0.00400
  [eval] step=006000  eval_ppl=215.121  gate_sparsity=0.320  ε_consumed=7.274
