condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
B_gate_naive,42,8.0,500,4.552797,4.131941,62.2987,0.0000,5.3487,0.000000
B_gate_naive,42,8.0,1000,4.430417,4.087752,59.6058,0.0000,5.7210,0.000000
B_gate_naive,42,8.0,1500,4.377033,3.980226,53.5292,0.0000,5.9914,0.000000
B_gate_naive,42,8.0,2000,4.315164,3.933616,51.0914,0.0000,6.1945,0.000000
B_gate_naive,42,8.0,2500,4.269827,3.903245,49.5630,0.0000,6.3975,0.000000
B_gate_naive,42,8.0,3000,4.244709,3.885577,48.6950,0.0000,6.5427,0.000000
B_gate_naive,42,8.0,3500,4.206913,3.872498,48.0623,0.0000,6.6789,0.000000
B_gate_naive,42,8.0,4000,4.195916,3.863528,47.6331,0.0000,6.8151,0.000000
B_gate_naive,42,8.0,4500,4.197043,3.854682,47.2136,0.0000,6.9513,0.000000
B_gate_naive,42,8.0,5000,4.187072,3.845756,46.7941,0.0000,7.0807,0.000000
B_gate_naive,42,8.0,5500,4.164916,3.837793,46.4229,0.0000,7.1775,0.000000
B_gate_naive,42,8.0,6000,4.150292,3.830718,46.0956,0.0000,7.2743,0.000000
B_gate_naive,42,8.0,6500,4.136216,3.827595,45.9519,0.0000,7.3710,0.000000
B_gate_naive,42,8.0,7000,4.138363,3.825630,45.8617,0.0000,7.4678,0.000000
B_gate_naive,42,8.0,7500,4.125650,3.825533,45.8572,0.0000,7.5646,0.000000
B_gate_naive,42,8.0,8000,4.130957,3.819225,45.5689,0.0000,7.6614,0.000000
B_gate_naive,42,8.0,8500,4.137666,3.820125,45.6099,0.0000,7.7582,0.000000
B_gate_naive,42,8.0,9000,4.131099,3.821282,45.6627,0.0000,7.8549,0.000000
B_gate_naive,42,8.0,9500,4.137457,3.823115,45.7465,0.0000,7.9275,0.000000
B_gate_naive,42,8.0,10000,4.116603,3.820139,45.6105,0.0000,7.9998,0.000000
