condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
A_none,123,8.0,500,4.228903,3.836069,46.3429,0.0000,5.3487,0.000000
A_none,123,8.0,1000,4.107358,3.801212,44.7554,0.0000,5.7210,0.000000
A_none,123,8.0,1500,4.081555,3.772674,43.4962,0.0000,5.9914,0.000000
A_none,123,8.0,2000,4.078886,3.755830,42.7697,0.0000,6.1945,0.000000
A_none,123,8.0,2500,4.036639,3.744374,42.2825,0.0000,6.3975,0.000000
A_none,123,8.0,3000,4.027427,3.733052,41.8065,0.0000,6.5427,0.000000
A_none,123,8.0,3500,4.029934,3.721655,41.3328,0.0000,6.6789,0.000000
A_none,123,8.0,4000,4.032837,3.716853,41.1348,0.0000,6.8151,0.000000
A_none,123,8.0,4500,4.034662,3.716268,41.1107,0.0000,6.9513,0.000000
A_none,123,8.0,5000,4.008780,3.709606,40.8377,0.0000,7.0807,0.000000
A_none,123,8.0,5500,4.005215,3.703123,40.5738,0.0000,7.1775,0.000000
A_none,123,8.0,6000,4.007125,3.708118,40.7770,0.0000,7.2743,0.000000
A_none,123,8.0,6500,4.011697,3.710260,40.8644,0.0000,7.3710,0.000000
A_none,123,8.0,7000,4.027089,3.709811,40.8461,0.0000,7.4678,0.000000
A_none,123,8.0,7500,4.007734,3.714826,41.0514,0.0000,7.5646,0.000000
A_none,123,8.0,8000,3.990960,3.713220,40.9856,0.0000,7.6614,0.000000
A_none,123,8.0,8500,4.026716,3.715292,41.0706,0.0000,7.7582,0.000000
A_none,123,8.0,9000,4.006989,3.725638,41.4977,0.0000,7.8549,0.000000
A_none,123,8.0,9500,3.996916,3.723645,41.4151,0.0000,7.9275,0.000000
A_none,123,8.0,10000,3.982439,3.735935,41.9272,0.0000,7.9998,0.000000
