condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
B_gate_naive,7,3.0,500,4.599901,4.167618,64.5615,0.0000,2.4553,0.000000
B_gate_naive,7,3.0,1000,4.475399,4.134264,62.4436,0.0000,2.5418,0.000000
B_gate_naive,7,3.0,1500,4.444599,4.047415,57.2493,0.0000,2.5975,0.000000
B_gate_naive,7,3.0,2000,4.378815,3.984411,53.7536,0.0000,2.6453,0.000000
B_gate_naive,7,3.0,2500,4.329658,3.953803,52.1333,0.0000,2.6824,0.000000
B_gate_naive,7,3.0,3000,4.298053,3.929099,50.8611,0.0000,2.7130,0.000000
B_gate_naive,7,3.0,3500,4.283309,3.911990,49.9984,0.0000,2.7437,0.000000
B_gate_naive,7,3.0,4000,4.260349,3.899459,49.3757,0.0000,2.7744,0.000000
B_gate_naive,7,3.0,4500,4.248030,3.883322,48.5854,0.0000,2.7975,0.000000
B_gate_naive,7,3.0,5000,4.229744,3.875043,48.1848,0.0000,2.8185,0.000000
B_gate_naive,7,3.0,5500,4.231876,3.872987,48.0858,0.0000,2.8395,0.000000
B_gate_naive,7,3.0,6000,4.204906,3.870754,47.9786,0.0000,2.8606,0.000000
B_gate_naive,7,3.0,6500,4.207802,3.866162,47.7587,0.0000,2.8816,0.000000
B_gate_naive,7,3.0,7000,4.205199,3.864621,47.6852,0.0000,2.9026,0.000000
B_gate_naive,7,3.0,7500,4.187850,3.857937,47.3675,0.0000,2.9231,0.000000
B_gate_naive,7,3.0,8000,4.183777,3.855528,47.2536,0.0000,2.9385,0.000000
B_gate_naive,7,3.0,8500,4.167506,3.855721,47.2627,0.0000,2.9538,0.000000
B_gate_naive,7,3.0,9000,4.157205,3.853241,47.1456,0.0000,2.9692,0.000000
B_gate_naive,7,3.0,9500,4.170103,3.847226,46.8629,0.0000,2.9846,0.000000
B_gate_naive,7,3.0,10000,4.172487,3.846362,46.8224,0.0000,2.9999,0.000000
