condition,eps_target,n_seeds,eval_ppl_mean,eval_ppl_std,gate_sparsity_mean,gate_sparsity_std
A_none,3.0,3,42.03093333333334,0.2983541575599926,0.0,0.0
A_none,8.0,3,41.7829,0.4887948138022758,0.0,0.0
B_gate_naive,3.0,3,46.9911,0.15115002480978773,0.0,0.0
B_gate_naive,8.0,3,45.515166666666666,0.16003981796207403,0.0,0.0
C_gate_dp_init,3.0,3,202.44323333333332,1.3855816624556347,0.29943333333333333,0.014676966080676666
C_gate_dp_init,8.0,3,176.39386666666667,1.0460652098857603,0.2866,0.017682477202021207
D_gate_dp_init_l1,3.0,3,202.44323333333332,1.3855816624556347,0.29943333333333333,0.014676966080676666
D_gate_dp_init_l1,8.0,3,176.39386666666667,1.0460652098857603,0.2866,0.017682477202021207
