condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
D_gate_dp_init_l1,123,8.0,500,6.743038,6.046929,422.8126,0.4349,5.3487,0.009501
D_gate_dp_init_l1,123,8.0,1000,6.469241,5.920013,372.4166,0.4174,5.7210,0.009001
D_gate_dp_init_l1,123,8.0,1500,6.390416,5.843601,345.0195,0.4093,5.9914,0.008501
D_gate_dp_init_l1,123,8.0,2000,6.303709,5.761658,317.8749,0.3747,6.1945,0.008001
D_gate_dp_init_l1,123,8.0,2500,6.252277,5.711100,302.2034,0.3882,6.3975,0.007501
D_gate_dp_init_l1,123,8.0,3000,6.205729,5.649582,284.1728,0.3807,6.5427,0.007001
D_gate_dp_init_l1,123,8.0,3500,6.145178,5.574456,263.6060,0.3838,6.6789,0.006501
D_gate_dp_init_l1,123,8.0,4000,6.061845,5.521844,250.0958,0.3763,6.8151,0.006001
D_gate_dp_init_l1,123,8.0,4500,5.990589,5.476373,238.9782,0.3519,6.9513,0.005501
D_gate_dp_init_l1,123,8.0,5000,5.938156,5.437989,229.9792,0.3636,7.0807,0.005001
D_gate_dp_init_l1,123,8.0,5500,5.885231,5.405813,222.6972,0.3249,7.1775,0.004501
D_gate_dp_init_l1,123,8.0,6000,5.842918,5.370699,215.0130,0.3320,7.2743,0.004001
D_gate_dp_init_l1,123,8.0,6500,5.798390,5.338035,208.1034,0.2936,7.3710,0.003501
D_gate_dp_init_l1,123,8.0,7000,5.743838,5.313612,203.0823,0.3033,7.4678,0.003001
D_gate_dp_init_l1,123,8.0,7500,5.725531,5.283735,197.1047,0.3180,7.5646,0.002501
D_gate_dp_init_l1,123,8.0,8000,5.711060,5.258086,192.1134,0.3150,7.6614,0.002001
D_gate_dp_init_l1,123,8.0,8500,5.669347,5.230357,186.8594,0.3089,7.7582,0.001501
D_gate_dp_init_l1,123,8.0,9000,5.618106,5.205582,182.2869,0.3065,7.8549,0.001001
D_gate_dp_init_l1,123,8.0,9500,5.594987,5.189866,179.4445,0.2990,7.9275,0.000501
D_gate_dp_init_l1,123,8.0,10000,5.575052,5.166834,175.3587,0.2899,7.9998,0.000001
